Date,Profit
2005-01-31,0.0
2005-02-01,-202.0
2005-02-02,254.0
2005-02-03,523.0
2005-02-04,1381.0
2005-02-09,1963.0
2005-02-10,2065.0
2005-02-11,2320.0
2005-02-14,2181.0
2005-02-15,2259.0
2005-02-16,2033.0
2005-02-17,2740.0
2005-02-18,2405.0
2005-02-21,2502.0
2005-02-22,2389.0
2005-02-23,2847.0
2005-02-24,4085.0
2005-02-25,4074.0
2005-02-28,3788.0
2005-03-01,3379.0
2005-03-02,3849.0
2005-03-03,4317.0
2005-03-04,4846.0
2005-03-07,5104.0
2005-03-08,4670.0
2005-03-09,4163.0
2005-03-10,4216.0
2005-03-11,3724.0
2005-03-14,3748.0
2005-03-15,3237.0
2005-03-16,3476.0
2005-03-17,3735.0
2005-03-18,3242.0
2005-03-21,3060.0
2005-03-22,2267.0
2005-03-23,1897.0
2005-03-24,2351.0
2005-03-28,1906.0
2005-03-29,1491.0
2005-03-30,2119.0
2005-03-31,2260.0
2005-04-01,2423.0
2005-04-04,2056.0
2005-04-05,1687.0
2005-04-06,1344.0
2005-04-07,1957.0
2005-04-08,1534.0
2005-04-11,1549.0
2005-04-12,1855.0
2005-04-13,1715.0
2005-04-14,633.0
2005-04-15,305.0
2005-04-18,526.0
2005-04-19,1215.0
2005-04-20,711.0
2005-04-22,416.0
2005-04-25,881.0
2005-04-26,954.0
2005-04-27,891.0
2005-04-28,89.0
2005-04-29,493.0
2005-05-02,354.0
2005-05-03,365.0
2005-05-04,1123.0
2005-05-05,1085.0
2005-05-06,1238.0
2005-05-09,1114.0
2005-05-10,412.0
2005-05-11,348.0
2005-05-12,-234.0
2005-05-13,-464.0
2005-05-16,28.0
2005-05-17,62.0
2005-05-18,547.0
2005-05-19,478.0
2005-05-20,171.0
2005-05-23,-136.0
2005-05-24,194.0
2005-05-25,127.0
2005-05-27,904.0
2005-05-30,1073.0
2005-05-31,856.0
2005-06-01,1598.0
2005-06-02,2289.0
2005-06-03,2015.0
2005-06-06,1205.0
2005-06-07,675.0
2005-06-08,351.0
2005-06-09,133.0
2005-06-10,600.0
2005-06-13,551.0
2005-06-14,1393.0
2005-06-15,1130.0
2005-06-16,1400.0
2005-06-17,1742.0
2005-06-20,1695.0
2005-06-21,1371.0
2005-06-22,1327.0
2005-06-23,465.0
2005-06-24,566.0
2005-06-27,875.0
2005-06-28,910.0
2005-06-29,775.0
2005-06-30,700.0
2005-07-01,960.0
2005-07-04,694.0
2005-07-05,324.0
2005-07-06,166.0
2005-07-07,99.0
2005-07-08,72.0
2005-07-11,665.0
2005-07-12,1185.0
2005-07-13,1505.0
2005-07-14,1569.0
2005-07-15,871.0
2005-07-18,970.0
2005-07-19,920.0
2005-07-20,1354.0
2005-07-21,1491.0
2005-07-22,1040.0
2005-07-25,180.0
2005-07-26,517.0
2005-07-27,987.0
2005-07-28,1717.0
2005-07-29,1691.0
2005-08-01,1947.0
2005-08-02,2438.0
2005-08-03,2363.0
2005-08-04,2119.0
2005-08-05,2167.0
2005-08-08,2360.0
2005-08-09,2940.0
2005-08-10,2766.0
2005-08-11,2282.0
2005-08-12,2600.0
2005-08-15,3024.0
2005-08-16,2729.0
2005-08-17,3065.0
2005-08-18,2549.0
2005-08-19,2293.0
2005-08-22,2910.0
2005-08-23,2418.0
2005-08-24,2361.0
2005-08-25,3051.0
2005-08-26,2744.0
2005-08-29,3034.0
2005-08-30,3253.0
2005-08-31,3694.0
2005-09-01,3611.0
2005-09-02,3968.0
2005-09-05,4171.0
2005-09-06,4504.0
2005-09-08,4477.0
2005-09-09,4957.0
2005-09-12,4735.0
2005-09-13,4522.0
2005-09-14,4699.0
2005-09-15,5015.0
2005-09-16,5465.0
2005-09-19,5725.0
2005-09-20,5708.0
2005-09-21,6486.0
2005-09-22,6327.0
2005-09-23,6943.0
2005-09-26,6790.0
2005-09-27,6524.0
2005-09-28,6966.0
2005-09-29,6858.0
2005-09-30,7233.0
2005-10-03,7505.0
2005-10-04,6933.0
2005-10-05,5813.0
2005-10-06,4876.0
2005-10-07,5622.0
2005-10-10,5926.0
2005-10-11,6263.0
2005-10-13,5529.0
2005-10-14,5419.0
2005-10-17,5891.0
2005-10-18,4717.0
2005-10-19,4946.0
2005-10-20,3993.0
